station_id,station_name,center_lat,center_lon,n_kickboards,grid_size_m,demand
VS_0001,가상정거장_1,37.50990990990991,127.04324324324324,10,100,42
VS_0002,가상정거장_2,37.51711711711712,127.04144144144145,10,100,34
VS_0003,가상정거장_3,37.49189189189189,127.00720720720722,10,100,27
VS_0004,가상정거장_4,37.53963963963964,127.07117117117117,10,100,25
VS_0005,가상정거장_5,37.53963963963964,127.0081081081081,10,100,24
VS_0006,가상정거장_6,37.5045045045045,127.02522522522523,10,100,23
VS_0007,가상정거장_7,37.5009009009009,127.03693693693694,10,100,23
VS_0008,가상정거장_8,37.502702702702706,127.02522522522523,10,100,21
VS_0009,가상정거장_9,37.48828828828829,127.01441441441442,10,100,20
VS_0010,가상정거장_10,37.51441441441442,127.03243243243243,10,100,20
VS_0011,가상정거장_11,37.53963963963964,127.07747747747747,7,100,19
VS_0012,가상정거장_12,37.51711711711712,127.04054054054055,7,100,19
VS_0013,가상정거장_13,37.542342342342344,127.07837837837837,7,100,19
VS_0014,가상정거장_14,37.46936936936937,127.03963963963965,7,100,18
VS_0015,가상정거장_15,37.52522522522523,127.02882882882884,7,100,18
VS_0016,가상정거장_16,37.47027027027027,127.03873873873874,7,100,18
VS_0017,가상정거장_17,37.50990990990991,127.04234234234234,7,100,17
VS_0018,가상정거장_18,37.502702702702706,127.04324324324324,7,100,17
VS_0019,가상정거장_19,37.5,127.03513513513514,7,100,17
VS_0020,가상정거장_20,37.54684684684685,127.07477477477478,7,100,17
VS_0021,가상정거장_21,37.50810810810811,127.03333333333333,7,100,17
VS_0022,가상정거장_22,37.48558558558559,127.03333333333333,7,100,17
VS_0023,가상정거장_23,37.51441441441442,127.03153153153153,7,100,16
VS_0024,가상정거장_24,37.50990990990991,127.04414414414414,7,100,16
VS_0025,가상정거장_25,37.49189189189189,127.03063063063064,7,100,15
VS_0026,가상정거장_26,37.51801801801802,127.05045045045046,7,100,15
VS_0027,가상정거장_27,37.494594594594595,127.01531531531532,5,100,14
VS_0028,가상정거장_28,37.505405405405405,127.04864864864865,5,100,14
VS_0029,가상정거장_29,37.5045045045045,127.05045045045046,5,100,14
VS_0030,가상정거장_30,37.53783783783784,127.0873873873874,5,100,14
VS_0031,가상정거장_31,37.498198198198196,127.02882882882884,5,100,14
VS_0032,가상정거장_32,37.516216216216215,127.01981981981982,5,100,14
VS_0033,가상정거장_33,37.51081081081081,127.02162162162162,5,100,14
VS_0034,가상정거장_34,37.512612612612614,127.1009009009009,5,100,14
VS_0035,가상정거장_35,37.47837837837838,127.00990990990991,5,100,14
VS_0036,가상정거장_36,37.513513513513516,127.1009009009009,5,100,13
VS_0037,가상정거장_37,37.494594594594595,127.02882882882884,5,100,13
VS_0038,가상정거장_38,37.502702702702706,127.02432432432433,5,100,13
VS_0039,가상정거장_39,37.50630630630631,127.02432432432433,5,100,13
VS_0040,가상정거장_40,37.50630630630631,127.03423423423423,5,100,13
VS_0041,가상정거장_41,37.48468468468469,127.01711711711712,5,100,13
VS_0042,가상정거장_42,37.46936936936937,127.03873873873874,5,100,13
VS_0043,가상정거장_43,37.51171171171171,127.08558558558559,5,100,12
VS_0044,가상정거장_44,37.50720720720721,127.03333333333333,3,100,12
